1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168
1.932816389830726e-09,1.932825780751493e-09,1.9328163073746245e-09,1.932816309989522e-09,4.3127883984097735e-07,4.311101677604208e-07,1.9328554472067394e-09,2.4516613679364957e-09,1.932842198019456e-09,1.9328508655655848e-09,1.932831577571881e-09,1.9328226908342254e-09,1.932832058459084e-09,1.932835468693382e-09,1.9328317309316737e-09,1.932831382898605e-09,1.9328299331508548e-09,1.932850708401027e-09,1.932820586663829e-09,4.3115630408599363e-07,2.4516827181435963e-09,4.309961882228094e-07,1.9328182777345923e-09,1.932830398350771e-09,1.9328161597729445e-09,1.9328162161473753e-09,4.309458778928736e-07,1.9328168914107064e-09,4.3094437490609317e-07,1.9328162934200165e-09,1.9328123345243792e-09,4.308569327261061e-07,4.3121889496133637e-07,1.9328252826002264e-09,1.9328503334472864e-09,1.9328680958396876e-09,1.9328451065299905e-09,1.932859013826713e-09,1.9328417698858966e-09,1.932850840684446e-09,1.932827175146064e-09,1.9328331652676775e-09,2.4516453191577243e-09,0.0088671015248261,0.0015721612470487817,0.001508048469271054,0.0015946195450446516,0.0016215562117113014,0.014718565691492722,0.005587260135937271,0.0021291362470486496,0.0019086115248264834,0.0013491118026044613,0.001349111802604461,0.0013491118026044597,0.0029755987470485193,0.001527782358159931,2.451647323466518e-09,3.1405003848854516e-09,1.932831781598482e-09,1.9328598627001844e-09,1.93282655621275e-09,1.9328321902845694e-09,1.9328333944925096e-09,1.9328332640454387e-09,1.9328273823809655e-09,2.4516342787067153e-09,0.0015552845803821509,0.0019127084692709092,0.0018712031914931606,0.0016017273581598692,0.0013491118026044597,0.001349111489489262,0.0013491118026044617,0.0013491118026044621,0.0012806395803822768,0.0012507398581600704,0.001196852913715658,0.0013491118026044604,0.002264516802604183,2.4516525370258337e-09,1.932851933119539e-09,1.9328268423868315e-09,1.9328205352347852e-09,1.9328321269403123e-09,1.932829312918886e-09,1.93281114286227e-09,1.9328245022408548e-09,1.9328320671100276e-09,1.9328176873291295e-09,2.4516648350166622e-09,0.004400131524826206,0.00395657013593734,0.0018911118026042632,0.0016910656561557162,0.0016391670450446251,0.0016412618026043007,0.014096707635937166,0.002958460135937418,0.005077768747048395,0.002380963469270825,0.0012057423581600816,1.932818266823792e-09,2.451665898637092e-09,1.9329029311247686e-09,1.932828896127375e-09,1.932832021160152e-09,1.9328260359717148e-09,1.9328356685881723e-09,1.932832119302665e-09,1.9328205218398583e-09,1.932831615574346e-09,1.932839003343496e-09,2.4516637566052305e-09,4.3121723210362224e-07,4.3085313695872167e-07,4.309262371324753e-07,4.309094207968791e-07,1.9328325313422384e-09,1.9328268454996123e-09,4.3099626452065186e-07,4.309883747353429e-07,4.309921417498541e-07,1.9328237852016296e-09,1.9328231973535785e-09,1.9328152301534255e-09,4.308353520835489e-07,2.4516631111302987e-09,2.451633414233799e-09,1.932831869769164e-09,1.9328321326301883e-09,1.9328312893133458e-09,1.9328526627902017e-09,1.932850055987288e-09,1.93282759440929e-09,1.932825754621041e-09,1.9328141442655937e-09,1.9328681882692736e-09,1.932849266932003e-09,4.3126198960073543e-07,2.4516596745692793e-09,1.932827210087906e-09,1.9328293380496332e-09,4.3080555805445534e-07,4.3094486980239304e-07,4.308128086473727e-07,4.312791030603691e-07,1.3852812124885967e-09,1.3852648506752148e-09,8.951975088816426e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9328258711184882e-09,1.9328052875605964e-09,1.9328242715938535e-09,1.932816309989522e-09,4.308082639122951e-07,4.312787742943608e-07,1.9328394424143054e-09,2.451675809871784e-09,1.9328366872545438e-09,1.932844526711619e-09,1.9328306067125703e-09,1.9328296797743423e-09,1.9328281632599663e-09,1.932842241363269e-09,1.932858860139782e-09,1.932826546518811e-09,1.9328213696885604e-09,1.9328330163908216e-09,1.932834150188846e-09,4.3126940929138664e-07,2.4516690677427096e-09,4.3091812130014756e-07,1.9328124980538e-09,1.9328161164326765e-09,1.932821397712925e-09,1.932809802667863e-09,4.3080413745976995e-07,1.9328168914107064e-09,4.3094437490609296e-07,1.9328162934200165e-09,1.932816305198855e-09,4.3115926429956213e-07,4.308165571751052e-07,1.932847053368358e-09,1.9328190164389764e-09,1.932829351251507e-09,1.9328327669564096e-09,1.9328401427282405e-09,1.932859534329858e-09,1.9328343939595847e-09,1.9328303641078105e-09,1.932818293709125e-09,2.4516469734538404e-09,0.0018736434692709367,0.0019718884692708836,0.0017580943026043008,0.0015721612117113313,0.0015721603783779962,0.0014887515248266185,0.0015282320803821571,0.0013768876359377753,0.008274550413714997,0.008347115691492775,0.005048213191492848,0.002965359580381865,0.00134911180260445,0.0016773973581598771,2.4516550471399422e-09,3.1405078418645605e-09,1.9328258856709733e-09,1.93283306948276e-09,1.9328276479975904e-09,1.932828419598036e-09,1.932832560105909e-09,1.932834337079701e-09,1.9328151942202654e-09,2.45164598339711e-09,0.001571120413715478,0.0015721615248265697,0.0015721612470488099,0.0014979865248265763,0.0014232887470488691,0.0013491114894892621,0.014473657358159394,0.002647919858159683,0.00506177680260396,0.002160225413715316,0.0016682148581598866,0.0013491118026044604,0.0016682148581598846,2.45164646165339e-09,1.932848206663691e-09,1.9328137446238224e-09,1.9328231072072285e-09,1.9328190087280616e-09,1.9328419952903123e-09,1.932859507993442e-09,1.9328297300146217e-09,1.932833375010669e-09,1.9328221469340685e-09,2.451641126942027e-09,0.0014752854137155122,0.004518752635937311,0.001543694580382151,0.0015500495450446825,0.0013712228783781305,0.0014687104137154783,0.001572537358159917,0.013741369302603836,0.0030974281914929584,0.005287399580381721,0.0028316662470485292,1.932818266823792e-09,2.45163444926531e-09,1.9328917432051688e-09,1.932841988385053e-09,1.932824028421795e-09,1.9328374705623916e-09,1.9328234492406993e-09,1.932828760074996e-09,1.9328547159405544e-09,1.932852214366937e-09,1.9328132971847213e-09,2.4516462736088033e-09,4.30853827565503e-07,4.309613927839312e-07,4.308543329295042e-07,4.3089620663779906e-07,1.932819037887936e-09,1.9328031733570435e-09,4.3127654472237367e-07,4.311572325430401e-07,4.312585454464507e-07,1.9328484482773917e-09,1.9328178435498264e-09,1.9328263430179263e-09,4.309552985499311e-07,2.4516330787928418e-09,2.4516333384962123e-09,1.9328461421501367e-09,1.9328243799914573e-09,1.9328239219590156e-09,1.9328240895263078e-09,1.9328392774599478e-09,1.932823571199418e-09,1.9328589474440387e-09,1.9328199652760203e-09,1.9328257852179778e-09,1.9328338216869177e-09,4.3122807898035053e-07,2.4516794065667865e-09,1.9328280400642353e-09,1.9328234134363776e-09,4.309043176955018e-07,4.308032395781222e-07,4.3094424507012105e-07,4.309459661575302e-07,1.3852438104404632e-09,1.38528481135553e-09,8.952250018294039e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9328384203797703e-09,1.932831930502931e-09,1.9328606684619244e-09,1.932863929454858e-09,4.3127848642459495e-07,4.3124281667818496e-07,1.9328422701798445e-09,2.451657029271092e-09,1.932834680831083e-09,1.9328360261835425e-09,1.9328352914128506e-09,1.932845278882229e-09,1.932850027836325e-09,1.9328603763143424e-09,1.9328579978808047e-09,1.9328440928670427e-09,1.932840653832363e-09,1.9328500008257512e-09,1.9328511048991926e-09,4.3083514104808994e-07,2.451652154877771e-09,4.3127921727657616e-07,1.9328414249741317e-09,1.9328332415441574e-09,1.932833293218365e-09,1.932833360862639e-09,4.312789765505989e-07,1.9328551658402142e-09,4.3127124562121787e-07,1.9328469280321077e-09,1.9328434482389767e-09,4.309788569307892e-07,4.30915081678532e-07,1.9328346369287787e-09,1.9328342273445023e-09,1.9328573099191428e-09,1.9328408756078e-09,1.9328420286274256e-09,1.9328620025967587e-09,1.9328656730141937e-09,1.9328662349784847e-09,1.932865643189162e-09,2.4516618239890897e-09,0.0020341695803820087,0.003022354024826275,0.014789580413714944,0.004288269545044079,0.0017200084339334726,0.0020391118026042293,0.002358214858159722,0.0017200087470487532,0.0032271929137151737,0.02120887763593715,0.014452399858159392,0.011495604302603853,0.0031281748581596155,0.002039111802604224,2.4516526398748944e-09,3.140527786875226e-09,1.9328443477685958e-09,1.9328370483194593e-09,1.9328596125440986e-09,1.9328574870452985e-09,1.932839760881212e-09,1.9328444086113454e-09,1.932845183258177e-09,2.451666877368767e-09,0.0030009890248263098,0.002039111802604213,0.015151656524826057,0.004745853747048371,0.0026069901359374635,0.00227438982282216,0.0021229365248264355,0.002039111802604232,0.01845060291371494,0.011779309858159412,0.013187501247048287,0.007098963191492794,0.004103119302603999,2.451652654478836e-09,1.932842956966794e-09,1.9328420742610956e-09,1.9328413757569755e-09,1.9328347671186005e-09,1.9328617180287278e-09,1.9328497111599774e-09,1.932843403527081e-09,1.9328461895997196e-09,1.9328472012312608e-09,2.4516633981813066e-09,0.0026851523581596743,0.0025878701359374648,0.013492797635937174,0.00334977454504418,0.0029731634339331173,0.0020391118026041903,0.002039111802604227,0.0020391118026042267,0.002039111802604225,0.002039111802604224,0.0020391118026042133,1.9328477050737564e-09,2.451672604128254e-09,1.932949719070944e-09,1.932865565045034e-09,1.9328640209453847e-09,1.932855648281682e-09,1.932836150812181e-09,1.9328574114865384e-09,1.932844955730747e-09,1.9328462931800915e-09,1.932844642614053e-09,2.4516852812483755e-09,4.3126986577002744e-07,4.312710381068005e-07,4.312226907458206e-07,4.312772228663076e-07,1.932847341709401e-09,1.9328336986233586e-09,4.309338375425009e-07,4.310065226306566e-07,4.30953260788553e-07,1.9328411865447713e-09,1.932838010388052e-09,1.9328303707287073e-09,4.312784430775054e-07,2.4516659210488626e-09,2.4516781108239894e-09,1.9328497846562198e-09,1.9328346503245618e-09,1.932854959804384e-09,1.9328401256666866e-09,1.9328528236613377e-09,1.932863180230415e-09,1.9328657211388215e-09,1.932865217222346e-09,1.932861811924005e-09,1.9328473358474236e-09,4.311619777511124e-07,2.451661031030964e-09,1.9328646680773446e-09,1.9328431314236306e-09,4.3101234475775554e-07,4.310143890714398e-07,4.3090586780062907e-07,4.3090698962867656e-07,1.3852597822316192e-09,1.385259730897855e-09,8.951998847072254e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9328483923073654e-09,1.9328482834888243e-09,1.9328492609000275e-09,1.9328487673562895e-09,4.312776747014626e-07,4.3127886770052304e-07,1.9328483064149406e-09,2.451666678897035e-09,1.9328654209019623e-09,1.9328666433635063e-09,1.9328668485882016e-09,1.9328670133218716e-09,1.932870258705046e-09,1.9328688632285422e-09,1.932866915989812e-09,1.9328582558345476e-09,1.9328525179281595e-09,1.9328561439684416e-09,1.932864246437854e-09,4.312790971226088e-07,2.451684208819919e-09,4.31231642438922e-07,1.9328489188371108e-09,1.9328462566352645e-09,1.9328642114174007e-09,1.932864858633818e-09,4.3127891623171853e-07,1.9328643699920327e-09,4.3127897413051837e-07,1.932857385624204e-09,1.9328502120821152e-09,4.312788728398735e-07,4.312791666976726e-07,1.9328675229247926e-09,1.9328670149574244e-09,1.9328540467419933e-09,1.932851274634589e-09,1.9328598033512675e-09,1.9328627999772963e-09,1.9328591551395366e-09,1.932856656610128e-09,1.9328560157695526e-09,2.4516728325966354e-09,0.018508833469270493,0.007254659302603871,0.004032129858159559,0.004114100100599648,0.003113257322821983,0.003411127080381824,0.008986343747048318,0.011251845969270516,0.011477945135937187,0.00951680346927054,0.011854475413714963,0.007046044580381682,0.0034111270803818122,0.01043648513593719,2.4516750244232934e-09,3.1405367079913714e-09,1.9328544902040902e-09,1.932857568366548e-09,1.932852804587819e-09,1.9328584040802117e-09,1.9328624356062358e-09,1.932866688750956e-09,1.932869156899393e-09,2.4516758169308844e-09,0.02535698235815937,0.0063789987470483445,0.004591098191492867,0.007841577080381626,0.01651996430260383,0.0037222451005996878,0.008315231802603887,0.013648084580381623,0.023021855413714928,0.005361959858159504,0.003413210413715158,0.012301229858159403,0.012277484580381625,2.4516862516403094e-09,1.9328548832312324e-09,1.9328530708650512e-09,1.932856499182699e-09,1.9328534834479673e-09,1.9328550134601327e-09,1.932861418502611e-09,1.9328608673885782e-09,1.9328569429259826e-09,1.9328615230468834e-09,2.4516760478844313e-09,0.017657212635937156,0.007696322635937224,0.004141070691492886,0.003678795656155252,0.0031557745450442004,0.007557491247048299,0.011242329858159407,0.01145672819149274,0.009611742358159418,0.01142650513593718,0.008838679858159414,1.9328520786429665e-09,2.4516703467371284e-09,1.9329501070396748e-09,1.9328529752507727e-09,1.9328605192126586e-09,1.9328547163541216e-09,1.932853102013013e-09,1.932852713106096e-09,1.9328558192610703e-09,1.9328563219836337e-09,1.932858460391196e-09,2.451674801668109e-09,4.312592875004239e-07,4.3127974116475023e-07,4.3126495960630444e-07,4.311992977278373e-07,1.9328522631058884e-09,1.9328502504742848e-09,4.3126932081945937e-07,4.3127517943558385e-07,4.3127562004356505e-07,1.932873451374239e-09,1.932866347278371e-09,1.9328644474152687e-09,4.3119182264332595e-07,2.45166815088779e-09,2.451685480857229e-09,1.9328540160357e-09,1.9328596988382196e-09,1.9328557988078526e-09,1.932867336594226e-09,1.9328673197876208e-09,1.932861573261484e-09,1.932857601691773e-09,1.9328564633704287e-09,1.9328567470536667e-09,1.9328538617406306e-09,4.312793626163387e-07,2.451680655003729e-09,1.9328547078261632e-09,1.932861219100264e-09,4.3127909339753583e-07,4.3127895805962616e-07,4.312790728157716e-07,4.312789927337469e-07,1.3852875275041726e-09,1.3852889276780977e-09,8.952205471246026e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.9328423655965873e-09,1.932838622104331e-09,1.932842248877075e-09,1.932838639019828e-09,4.3101753156827646e-07,4.312788157987527e-07,1.932849104534287e-09,2.451681331824383e-09,1.9328630947532745e-09,1.932845304180107e-09,1.932855131143077e-09,1.932869885783144e-09,1.932860940775138e-09,1.932845355187669e-09,1.9328471013002534e-09,1.9328485292365213e-09,1.9328431829143416e-09,1.932843468460455e-09,1.9328535759426144e-09,4.312790835960404e-07,2.4516643980180347e-09,4.311024272399691e-07,1.9328430294969722e-09,1.932841160834083e-09,1.9328420757387934e-09,1.9328369178007654e-09,4.310536126608937e-07,1.932839344090774e-09,4.3102039191477943e-07,1.9328422502546418e-09,1.9328386243900834e-09,4.312743534500822e-07,4.3127904062587073e-07,1.9328592274026214e-09,1.932855804177212e-09,1.932859049416182e-09,1.9328626909018354e-09,1.9328697310160317e-09,1.932846953504176e-09,1.932843976031577e-09,1.9328434990216823e-09,1.932848228632471e-09,2.4516663817987267e-09,0.014310739302603837,0.0027944334692707445,0.0026689126359374545,0.0026074873228220763,0.0026041753783776302,0.002381127080381942,0.0026922454137152285,0.0023811270803819375,0.0026922454137152307,0.00211690235815977,0.0023342334692708394,0.002381127080381942,0.004826222358159509,0.007646616247048332,2.451686789576628e-09,3.140541751304104e-09,1.932868366517092e-09,1.932869055866711e-09,1.9328505478871807e-09,1.932860646039111e-09,1.9328676563721485e-09,1.9328622221564733e-09,1.932855879005305e-09,2.451664861998967e-09,0.02637240124704825,0.002625961247048555,0.002748216802604114,0.002729477635937407,0.002671079024826344,0.002381126767266576,0.002692245413715232,0.015314898469270503,0.0038572304137151287,0.0059197573581594885,0.0030686351359374107,0.0023811270803819427,0.005843282913715042,2.4516756014120364e-09,1.9328449869663856e-09,1.932846663519859e-09,1.932846977464724e-09,1.9328598208753113e-09,1.932847430585574e-09,1.932842618207837e-09,1.9328476156374144e-09,1.932848060593632e-09,1.932859458009421e-09,2.4516681049092924e-09,0.021175857358159366,0.011953279858159402,0.011863294302603848,0.0025131534339332133,0.0026371656561554016,0.002381127080381902,0.00238112708038194,0.0023811270803819396,0.002381127080381937,0.0023811270803819366,0.0023811270803819253,1.932840968937336e-09,2.4516807637427268e-09,1.932937067846793e-09,1.932844388498131e-09,1.932846912708207e-09,1.932857421513635e-09,1.932847869793826e-09,1.932851636116773e-09,1.932843767546283e-09,1.932850113110734e-09,1.932869188906156e-09,2.4516786441834466e-09,4.312588765205276e-07,4.3127299709907283e-07,4.312736855254984e-07,4.312742149073321e-07,1.9328622064063473e-09,1.9328539962671635e-09,4.312762172960441e-07,4.312642886035433e-07,4.3126684097534e-07,1.932858291460141e-09,1.932840841280496e-09,1.9328424691573227e-09,4.3102413663733456e-07,2.451678829569684e-09,2.451674890976319e-09,1.932866628354098e-09,1.932867026216522e-09,1.932856509337364e-09,1.9328509636060907e-09,1.9328487603317907e-09,1.9328443090195805e-09,1.932857659043588e-09,1.9328455212504406e-09,1.9328465993217795e-09,1.9328455519716125e-09,4.3127878793847717e-07,2.451663255792557e-09,1.9328407050730312e-09,1.932843420363e-09,4.3108324411569896e-07,4.310212654043745e-07,4.310210845683424e-07,4.309624584990737e-07,1.3852629557879192e-09,1.3852645072906537e-09,8.952042912854377e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
