Date;Demand;PV_Production;Wind_Production;Production;Netload
2022-10-16 00:00:00;1364.6233333333332;0.0;2755.725372871267;2755.725372871267;-1391.102039537934
2022-10-16 00:01:00;1364.0483333333334;0.0;2777.570345657154;2777.570345657154;-1413.5220123238207
2022-10-16 00:02:00;1342.1366666666663;0.0;2798.6203726145995;2798.6203726145995;-1456.4837059479332
2022-10-16 00:03:00;1323.41;0.0;2818.8851156482306;2818.8851156482306;-1495.4751156482305
2022-10-16 00:04:00;1310.5416666666667;0.0;2838.3742366626734;2838.3742366626734;-1527.8325699960067
2022-10-16 00:05:00;1299.0816666666667;0.0;2857.0973975625543;2857.0973975625543;-1558.0157308958876
2022-10-16 00:06:00;1294.0116666666668;0.0;2875.0642602525004;2875.0642602525004;-1581.0525935858336
2022-10-16 00:07:00;1290.8533333333337;0.0;2892.284486637137;2892.284486637137;-1601.4311533038033
2022-10-16 00:08:00;1401.6366666666663;0.0;2908.767738621092;2908.767738621092;-1507.1310719544258
2022-10-16 00:09:00;1440.9416666666668;0.0;2924.5236781089893;2924.5236781089893;-1483.5820114423225
2022-10-16 00:10:00;1432.64;0.0;2939.56196700546;2939.56196700546;-1506.9219670054597
2022-10-16 00:11:00;1422.1066666666666;0.0;2953.8922672151243;2953.8922672151243;-1531.7856005484578
2022-10-16 00:12:00;1459.5283333333334;0.0;2967.524240642612;2967.524240642612;-1507.9959073092784
2022-10-16 00:13:00;1521.5283333333332;0.0;2980.467549192551;2980.467549192551;-1458.9392158592177
2022-10-16 00:14:00;1186.8116666666667;0.0;2992.731854769565;2992.731854769565;-1805.9201881028982
2022-10-16 00:15:00;1173.7416666666666;0.0;3004.326819278282;3004.326819278282;-1830.5851526116155
2022-10-16 00:16:00;1167.5683333333334;0.0;3015.262104623327;3015.262104623327;-1847.6937712899937
2022-10-16 00:17:00;1161.3566666666666;0.0;3025.547372709329;3025.547372709329;-1864.1907060426624
2022-10-16 00:18:00;1156.8833333333334;0.0;3035.192285440912;3035.192285440912;-1878.3089521075788
2022-10-16 00:19:00;1153.735;0.0;3044.2065047227024;3044.2065047227024;-1890.4715047227025
2022-10-16 00:20:00;1151.4799999999998;0.0;3052.5996924593283;3052.5996924593283;-1901.1196924593285
2022-10-16 00:21:00;1149.1299999999997;0.0;3060.381510555414;3060.381510555414;-1911.2515105554144
2022-10-16 00:22:00;1059.01;0.0;3067.561620915589;3067.561620915589;-2008.5516209155892
2022-10-16 00:23:00;1023.7583333333332;0.0;3074.1496854444763;3074.1496854444763;-2050.391352111143
2022-10-16 00:24:00;1023.6433333333332;0.0;3080.155366046704;3080.155366046704;-2056.512032713371
2022-10-16 00:25:00;1023.5583333333332;0.0;3085.5883246268986;3085.5883246268986;-2062.029991293565
2022-10-16 00:26:00;944.51;0.0;3090.4582230896863;3090.4582230896863;-2145.9482230896865
