Date;Demand;PV_Production;Wind_Production;Production;Netload
2022-10-12 00:00:00;1364.1466666666668;0.0;2990.0;2990.0;-1625.8533333333332
2022-10-12 00:01:00;1363.2066666666667;0.0;2990.0276157020417;2990.0276157020417;-1626.820949035375
2022-10-12 00:02:00;1340.2683333333332;0.0;2989.972908757133;2989.972908757133;-1649.7045754238
2022-10-12 00:03:00;1455.4283333333335;0.0;2989.836683009013;2989.836683009013;-1534.4083496756796
2022-10-12 00:04:00;1466.3033333333335;0.0;2989.6197423014214;2989.6197423014214;-1523.316408968088
2022-10-12 00:05:00;1448.5633333333333;0.0;2989.322890478095;2989.322890478095;-1540.7595571447616
2022-10-12 00:06:00;1436.0466666666669;0.0;2988.946931382775;2988.946931382775;-1552.900264716108
2022-10-12 00:07:00;1428.621666666667;0.0;2988.4926688591977;2988.4926688591977;-1559.8710021925308
2022-10-12 00:08:00;1421.58;0.0;2987.9609067511046;2987.9609067511046;-1566.3809067511047
2022-10-12 00:09:00;1416.525;0.0;2987.352448902234;2987.352448902234;-1570.8274489022338
2022-10-12 00:10:00;1413.765;0.0;2986.668099156325;2986.668099156325;-1572.9030991563247
2022-10-12 00:11:00;1410.7083333333333;0.0;2985.908661357116;2985.908661357116;-1575.200328023783
2022-10-12 00:12:00;1407.7566666666664;0.0;2985.074939348344;2985.074939348344;-1577.3182726816774
2022-10-12 00:13:00;1319.6416666666669;0.0;2984.1677369737527;2984.1677369737527;-1664.5260703070858
2022-10-12 00:14:00;1024.26;0.0;2983.187858077077;2983.187858077077;-1958.9278580770772
2022-10-12 00:15:00;1020.8116666666668;0.0;2982.1361065020574;2982.1361065020574;-1961.3244398353904
2022-10-12 00:16:00;1019.4216666666666;0.0;2981.0132860924323;2981.0132860924323;-1961.5916194257657
2022-10-12 00:17:00;915.6016666666668;0.0;2979.820200691942;2979.820200691942;-2064.218534025275
2022-10-12 00:18:00;895.0;0.0;2978.557654144324;2978.557654144324;-2083.557654144324
2022-10-12 00:19:00;895.0;0.0;2977.2264502933167;2977.2264502933167;-2082.2264502933167
2022-10-12 00:20:00;895.0;0.0;2975.827392982662;2975.827392982662;-2080.827392982662
2022-10-12 00:21:00;941.0316666666666;0.0;2974.361286056096;2974.361286056096;-2033.3296193894294
2022-10-12 00:22:00;1052.9416666666666;0.0;2972.828933357358;2972.828933357358;-1919.8872666906914
2022-10-12 00:23:00;1050.415;0.0;2971.231138730187;2971.231138730187;-1920.816138730187
2022-10-12 00:24:00;1042.07;0.0;2969.568706018324;2969.568706018324;-1927.4987060183241
2022-10-12 00:25:00;1036.825;0.0;2967.842439065505;2967.842439065505;-1931.017439065505
2022-10-12 00:26:00;1032.7116666666666;0.0;2966.0531417154702;2966.0531417154702;-1933.3414750488037
2022-10-12 00:27:00;1029.2716666666663;0.0;2964.201617811959;2964.201617811959;-1934.9299511452925
2022-10-12 00:28:00;1028.5266666666666;0.0;2962.28867119871;2962.28867119871;-1933.7620045320432
2022-10-12 00:29:00;1027.135;0.0;2960.3151057194627;2960.3151057194627;-1933.1801057194627
2022-10-12 00:30:00;1025.745;0.0;2958.281725217954;2958.281725217954;-1932.536725217954
2022-10-12 00:31:00;1024.3566666666666;0.0;2956.189333537925;2956.189333537925;-1931.8326668712584
2022-10-12 00:32:00;1022.965;0.0;2954.038734523115;2954.038734523115;-1931.073734523115
2022-10-12 00:33:00;1021.575;0.0;2951.8307320172607;2951.8307320172607;-1930.2557320172607
2022-10-12 00:34:00;1020.1866666666666;0.0;2949.566129864102;2949.566129864102;-1929.3794631974356
2022-10-12 00:35:00;983.8616666666668;0.0;2947.245731907379;2947.245731907379;-1963.3840652407125
2022-10-12 00:36:00;895.0;0.0;2944.8703419908293;2944.8703419908293;-2049.8703419908293
2022-10-12 00:37:00;895.0;0.0;2942.4407639581923;2942.4407639581923;-2047.4407639581923
2022-10-12 00:38:00;895.0;0.0;2939.9578016532064;2939.9578016532064;-2044.9578016532064
2022-10-12 00:39:00;895.0;0.0;2937.422258919611;2937.422258919611;-2042.422258919611
2022-10-12 00:40:00;895.0;0.0;2934.8349396011463;2934.8349396011463;-2039.8349396011463
2022-10-12 00:41:00;895.0;0.0;2932.196647541549;2932.196647541549;-2037.1966475415488
2022-10-12 00:42:00;953.8433333333334;0.0;2929.508186584559;2929.508186584559;-1975.6648532512258
2022-10-12 00:43:00;1053.2183333333332;0.0;2926.770360573916;2926.770360573916;-1873.552027240583
2022-10-12 00:44:00;1185.4366666666667;0.0;2923.983973353358;2923.983973353358;-1738.5473066866914
2022-10-12 00:45:00;1198.5383333333334;0.0;2921.149828766624;2921.149828766624;-1722.6114954332907
2022-10-12 00:46:00;1234.5549999999998;0.0;2918.268730657452;2918.268730657452;-1683.7137306574523
2022-10-12 00:47:00;1332.2966666666666;0.0;2915.341482869584;2915.341482869584;-1583.0448162029174
2022-10-12 00:48:00;1322.465;0.0;2912.368889246756;2912.368889246756;-1589.9038892467563
2022-10-12 00:49:00;1309.8000000000002;0.0;2909.351753632708;2909.351753632708;-1599.551753632708
2022-10-12 00:50:00;1301.6416666666669;0.0;2906.29087987118;2906.29087987118;-1604.6492132045132
2022-10-12 00:51:00;1294.503333333333;0.0;2903.1870718059085;2903.1870718059085;-1608.6837384725754
2022-10-12 00:52:00;1288.6933333333334;0.0;2900.0411332806343;2900.0411332806343;-1611.347799947301
2022-10-12 00:53:00;1284.155;0.0;2896.8538681390955;2896.8538681390955;-1612.6988681390956
2022-10-12 00:54:00;1280.52;0.0;2893.626080225032;2893.626080225032;-1613.1060802250322
