Date;Power
2022-10-16 00:00:00;259.7
2022-10-16 00:01:00;259.62999999999994
2022-10-16 00:02:00;252.66833333333335
2022-10-16 00:03:00;246.1216666666666
2022-10-16 00:04:00;241.93833333333336
2022-10-16 00:05:00;238.21500000000003
2022-10-16 00:06:00;236.6083333333333
2022-10-16 00:07:00;235.55166666666665
2022-10-16 00:08:00;234.1616666666667
2022-10-16 00:09:00;232.77333333333337
2022-10-16 00:10:00;231.3816666666667
2022-10-16 00:11:00;229.99333333333328
2022-10-16 00:12:00;228.60333333333332
2022-10-16 00:13:00;227.21333333333334
2022-10-16 00:14:00;105.05833333333334
2022-10-16 00:15:00;103.0
2022-10-16 00:16:00;103.0
2022-10-16 00:17:00;103.0
2022-10-16 00:18:00;103.0
2022-10-16 00:19:00;103.0
2022-10-16 00:20:00;103.0
2022-10-16 00:21:00;103.0
2022-10-16 00:22:00;103.0
2022-10-16 00:23:00;103.0
2022-10-16 00:24:00;103.0
2022-10-16 00:25:00;103.0
2022-10-16 00:26:00;103.0
2022-10-16 00:27:00;103.0
2022-10-16 00:28:00;103.0
2022-10-16 00:29:00;103.0
2022-10-16 00:30:00;103.0
2022-10-16 00:31:00;103.0
2022-10-16 00:32:00;103.0
2022-10-16 00:33:00;103.0
2022-10-16 00:34:00;103.0
2022-10-16 00:35:00;103.0
2022-10-16 00:36:00;103.0
2022-10-16 00:37:00;103.0
2022-10-16 00:38:00;103.0
2022-10-16 00:39:00;103.0
2022-10-16 00:40:00;198.94333333333336
2022-10-16 00:41:00;260.66499999999996
2022-10-16 00:42:00;256.03166666666664
2022-10-16 00:43:00;248.09000000000003
2022-10-16 00:44:00;243.56
2022-10-16 00:45:00;239.5683333333333
2022-10-16 00:46:00;236.84166666666664
2022-10-16 00:47:00;236.08499999999998
2022-10-16 00:48:00;234.6966666666667
2022-10-16 00:49:00;233.30333333333337
2022-10-16 00:50:00;231.91666666666666
2022-10-16 00:51:00;230.52666666666664
2022-10-16 00:52:00;229.13499999999996
2022-10-16 00:53:00;227.74666666666673
2022-10-16 00:54:00;152.50833333333333
2022-10-16 00:55:00;103.0
2022-10-16 00:56:00;103.0
2022-10-16 00:57:00;103.0
2022-10-16 00:58:00;103.0
2022-10-16 00:59:00;103.0
2022-10-16 01:00:00;103.0
2022-10-16 01:01:00;103.0
2022-10-16 01:02:00;103.0
2022-10-16 01:03:00;103.0
2022-10-16 01:04:00;103.0
2022-10-16 01:05:00;103.0
2022-10-16 01:06:00;103.0
2022-10-16 01:07:00;103.0
2022-10-16 01:08:00;103.0
2022-10-16 01:09:00;103.0
2022-10-16 01:10:00;103.0
2022-10-16 01:11:00;103.0
2022-10-16 01:12:00;103.0
2022-10-16 01:13:00;103.0
2022-10-16 01:14:00;103.0
2022-10-16 01:15:00;103.0
2022-10-16 01:16:00;103.0
2022-10-16 01:17:00;103.0
2022-10-16 01:18:00;103.0
2022-10-16 01:19:00;103.0
2022-10-16 01:20:00;103.0
2022-10-16 01:21:00;103.0
2022-10-16 01:22:00;103.0
2022-10-16 01:23:00;103.0
2022-10-16 01:24:00;103.0
2022-10-16 01:25:00;103.0
2022-10-16 01:26:00;103.0
2022-10-16 01:27:00;103.0
2022-10-16 01:28:00;103.0
2022-10-16 01:29:00;103.0
2022-10-16 01:30:00;103.0
2022-10-16 01:31:00;103.0
2022-10-16 01:32:00;103.0
2022-10-16 01:33:00;103.0
2022-10-16 01:34:00;103.0
2022-10-16 01:35:00;103.0
2022-10-16 01:36:00;103.0
2022-10-16 01:37:00;103.0
2022-10-16 01:38:00;103.0
2022-10-16 01:39:00;103.0
2022-10-16 01:40:00;103.0
2022-10-16 01:41:00;103.0
2022-10-16 01:42:00;103.0
2022-10-16 01:43:00;103.0
2022-10-16 01:44:00;103.0
2022-10-16 01:45:00;103.0
2022-10-16 01:46:00;103.0
2022-10-16 01:47:00;103.0
2022-10-16 01:48:00;103.0
2022-10-16 01:49:00;103.0
2022-10-16 01:50:00;103.0
2022-10-16 01:51:00;103.0
2022-10-16 01:52:00;103.0
2022-10-16 01:53:00;103.0
2022-10-16 01:54:00;103.0
2022-10-16 01:55:00;103.0
2022-10-16 01:56:00;103.0
2022-10-16 01:57:00;143.94666666666666
2022-10-16 01:58:00;260.78666666666663
2022-10-16 01:59:00;258.6433333333333
2022-10-16 02:00:00;250.28000000000003
2022-10-16 02:01:00;244.9616666666667
2022-10-16 02:02:00;240.84333333333336
2022-10-16 02:03:00;237.32999999999998
2022-10-16 02:04:00;236.57333333333332
2022-10-16 02:05:00;235.18
2022-10-16 02:06:00;233.7916666666667
2022-10-16 02:07:00;232.40333333333334
2022-10-16 02:08:00;231.01166666666666
2022-10-16 02:09:00;229.62166666666664
2022-10-16 02:10:00;228.23333333333338
2022-10-16 02:11:00;196.01166666666666
2022-10-16 02:12:00;103.0
2022-10-16 02:13:00;103.0
2022-10-16 02:14:00;103.0
2022-10-16 02:15:00;103.0
2022-10-16 02:16:00;103.0
2022-10-16 02:17:00;103.0
2022-10-16 02:18:00;103.0
2022-10-16 02:19:00;103.0
2022-10-16 02:20:00;103.0
2022-10-16 02:21:00;103.0
2022-10-16 02:22:00;103.0
2022-10-16 02:23:00;103.0
2022-10-16 02:24:00;103.0
2022-10-16 02:25:00;103.0
2022-10-16 02:26:00;103.0
2022-10-16 02:27:00;103.0
2022-10-16 02:28:00;103.0
2022-10-16 02:29:00;103.0
2022-10-16 02:30:00;103.0
2022-10-16 02:31:00;103.0
2022-10-16 02:32:00;103.0
2022-10-16 02:33:00;103.0
2022-10-16 02:34:00;103.0
2022-10-16 02:35:00;103.0
2022-10-16 02:36:00;138.87833333333336
2022-10-16 02:37:00;260.6116666666666
2022-10-16 02:38:00;258.8683333333333
2022-10-16 02:39:00;250.49000000000004
2022-10-16 02:40:00;245.09833333333333
2022-10-16 02:41:00;240.97833333333335
2022-10-16 02:42:00;237.39000000000001
2022-10-16 02:43:00;236.61999999999998
2022-10-16 02:44:00;235.22666666666666
2022-10-16 02:45:00;233.8383333333334
2022-10-16 02:46:00;232.44999999999996
2022-10-16 02:47:00;231.05666666666664
2022-10-16 02:48:00;229.66833333333335
2022-10-16 02:49:00;228.28000000000003
